ID,Tx Amplitude at -7,Tx Amplitude at -6,Tx Amplitude at -5,Tx Amplitude at -4,Tx Amplitude at -3,Tx Amplitude at -2.5,Tx Amplitude at -2,Tx Amplitude at -1.5,Tx Amplitude at -1,Tx Amplitude at -0.5,Tx Amplitude at 0,Tx Amplitude at 1,Tx Amplitude at 2,Tx Amplitude at 3,Tx Amplitude at 4,Tx Phase at -7,Tx Phase at -6,Tx Phase at -5,Tx Phase at -4,Tx Phase at -3,Tx Phase at -2.5,Tx Phase at -2,Tx Phase at -1.5,Tx Phase at -1,Tx Phase at -0.5,Tx Phase at 0,Tx Phase at 1,Tx Phase at 2,Tx Phase at 3,Tx Phase at 4,Label,Trial
0,0.001891399,0.002083295,0.004217961,0.003733201,0.018894131,0.026596896,0.027008554,0.019225854,0.025426324,0.028831825,0.010877738,0.005250116,0.00331911,0.003085849,0.006194814,-2.058069187,-0.628391484,1.566439618,-0.128191621,0.23482683,0.175312723,0.503351691,0.840757033,0.634942998,0.372477383,0.053777194,-0.220243502,-2.933058313,0.824030824,-1.844181998,Hole,1
1,0.001892582,0.002078133,0.004217243,0.003735584,0.01889258,0.026582308,0.02706703,0.019299118,0.02540646,0.028816074,0.010895721,0.005200675,0.00326712,0.003079665,0.006195592,-2.055803284,-0.628356954,1.56612198,-0.127765116,0.234516928,0.175555796,0.501343691,0.841286413,0.635073219,0.37208414,0.051593625,-0.210717124,-2.900115867,0.824106459,-1.845349169,Hole,1
2,0.001892864,0.002078003,0.004215071,0.003734061,0.018895982,0.026556958,0.027070126,0.019292208,0.025358693,0.028768699,0.010904703,0.005263716,0.003189337,0.003065639,0.006198352,-2.055972873,-0.631318582,1.566666491,-0.128222718,0.234311697,0.174703407,0.499483185,0.841865241,0.633659044,0.372149325,0.052261016,-0.218681821,-2.892751703,0.826298775,-1.844914107,Hole,1
3,0.001896493,0.002073404,0.004215288,0.00373233,0.018890807,0.026565087,0.027061269,0.019284576,0.025356225,0.02875497,0.010917121,0.005226603,0.003202775,0.00306457,0.00619063,-2.054620822,-0.632169891,1.564895309,-0.128607262,0.234373699,0.174955981,0.498891657,0.841142494,0.634214935,0.371542695,0.050770375,-0.212246117,-2.902221473,0.829220489,-1.843084934,Hole,1
4,0.001891747,0.002077532,0.004215815,0.003731698,0.018899714,0.026537843,0.027081416,0.019306856,0.025351103,0.028717683,0.010903432,0.005275326,0.003213687,0.003073123,0.006186498,-2.055008114,-0.633476568,1.565966784,-0.128496975,0.23462435,0.174928526,0.499417268,0.841851683,0.633126439,0.372358285,0.050325762,-0.221953069,-2.903675398,0.826953387,-1.843601298,Hole,1
5,0.001896433,0.002086661,0.004215168,0.00373271,0.018900124,0.026529896,0.027066185,0.019281455,0.025357672,0.028675241,0.010921031,0.00528937,0.003241507,0.0030802,0.006192127,-2.055181226,-0.631535029,1.564404564,-0.129220015,0.234085995,0.174916846,0.49887785,0.842160341,0.633631394,0.372888151,0.047849701,-0.215699186,-2.912493092,0.825919919,-1.8438951,Hole,1
6,0.001896532,0.002084011,0.00422163,0.003737293,0.01890593,0.026527803,0.027092248,0.019310755,0.02536697,0.028711468,0.01093217,0.005232157,0.003228983,0.003085615,0.006193874,-2.056468349,-0.63512772,1.565905744,-0.127527668,0.234200577,0.175389207,0.49884059,0.84249844,0.634992968,0.373583784,0.048588627,-0.209969958,-2.929447974,0.825738254,-1.843129727,Hole,1
7,0.001900332,0.002073939,0.004222277,0.003732,0.018894406,0.026532104,0.027052619,0.019313824,0.025358627,0.028713945,0.010926112,0.00523545,0.003261975,0.003084649,0.006187461,-2.056062228,-0.63258558,1.565403801,-0.1280582,0.233971379,0.17522964,0.497586073,0.843173994,0.635020219,0.37362228,0.047565568,-0.211635564,-2.921648879,0.824557853,-1.844190483,Hole,1
8,0.001897143,0.00207802,0.004220581,0.003736413,0.018889132,0.026545709,0.027051972,0.019315578,0.025352272,0.028716408,0.010923471,0.005197443,0.003281901,0.003092457,0.006195998,-2.056378571,-0.631854418,1.565174755,-0.128974482,0.234378618,0.175691962,0.497946802,0.843737646,0.635006803,0.374081227,0.046376868,-0.205674847,-2.933812126,0.825815554,-1.849339201,Hole,1
9,0.001899127,0.00207442,0.00421947,0.003740203,0.018899139,0.026537388,0.027071348,0.019327433,0.025374496,0.028694317,0.01093256,0.00517542,0.003290139,0.003096024,0.006195342,-2.052793617,-0.634091615,1.566292123,-0.127423508,0.234093423,0.175237629,0.497778227,0.844381227,0.636018634,0.374619542,0.046340756,-0.207189309,-2.936902105,0.825453547,-1.84763495,Hole,1
