Tx Amplitude at -5,Tx Amplitude at -3,Tx Amplitude at -1.5,Tx Amplitude at -0.5,Tx Amplitude at 1,Tx Amplitude at 2,Tx Phase at -6,Tx Phase at -5,Tx Phase at -4,Tx Phase at -2,Label
75,2,89,72,63,163,103,108,120,4,0
49,105,14,11,4,26,4,99,138,172,0
141,161,138,131,101,75,57,61,1,132,1
46,106,8,3,0,23,7,97,139,166,0
120,84,134,150,127,117,167,11,62,91,1
116,124,95,104,144,89,39,167,106,19,0
137,158,141,126,105,80,49,59,3,127,1
43,34,109,51,36,54,107,35,179,88,0
6,23,43,32,22,9,62,153,35,42,0
51,110,2,1,11,16,14,94,137,179,0
96,57,66,115,156,133,82,145,97,61,0
139,150,146,132,111,81,45,70,14,120,1
117,123,99,99,143,95,35,175,107,24,0
37,30,118,45,42,45,105,30,172,89,0
45,113,10,0,15,15,13,90,146,176,0
122,81,131,152,130,114,168,6,60,94,1
164,142,19,76,46,70,22,133,82,48,0
161,148,25,82,54,63,17,124,84,66,0
118,133,91,100,147,90,42,168,108,15,0
7,22,42,34,21,0,70,155,37,44,0
153,144,24,85,58,62,21,125,78,71,0
100,46,62,108,152,130,85,148,93,70,0
32,37,116,50,40,46,109,31,173,84,0
65,98,165,172,171,142,151,78,23,112,1
39,41,112,56,35,55,110,39,177,81,0
160,147,29,77,48,67,15,129,87,49,0
9,20,37,37,20,11,61,157,40,38,0
72,101,172,179,167,136,162,86,29,107,1
155,139,16,89,56,71,28,131,80,74,0
132,79,120,161,118,106,178,1,72,104,1
23,71,47,27,94,35,141,29,158,145,0
17,64,48,29,115,40,145,22,150,139,0
90,56,74,119,164,123,77,143,104,64,0
68,93,166,165,179,146,155,81,17,118,1
113,125,90,101,138,85,40,166,113,16,0
94,59,70,111,160,124,75,137,100,58,0
134,78,125,163,114,109,174,10,71,101,1
133,77,124,164,113,107,171,12,70,90,1
114,127,96,98,148,86,34,165,105,22,0
115,130,98,94,139,98,44,170,111,21,0
127,87,128,155,128,115,170,3,63,102,1
58,109,7,7,1,22,9,96,135,167,0
50,116,4,4,13,19,8,92,149,170,0
59,112,11,10,3,25,3,93,141,169,0
104,51,69,107,159,126,76,136,99,59,0
1,28,30,38,25,1,67,158,32,30,0
54,107,0,12,8,24,2,91,144,168,0
