ID,Tx Amplitude at -6,Tx Amplitude at -5,Tx Amplitude at -4,Tx Amplitude at -3,Tx Amplitude at -2.5,Tx Amplitude at -2,Tx Amplitude at -1.5,Tx Amplitude at -1,Tx Amplitude at -0.5,Tx Amplitude at 0,Tx Amplitude at 1,Tx Amplitude at 2,Tx Amplitude at 3,Tx Amplitude at 4,Tx Phase at -6,Tx Phase at -5,Tx Phase at -4,Tx Phase at -3,Tx Phase at -2.5,Tx Phase at -2,Tx Phase at -1.5,Tx Phase at -1,Tx Phase at -0.5,Tx Phase at 0,Tx Phase at 1,Tx Phase at 2,Tx Phase at 3,Tx Phase at 4,Label,Trial
0,level,up,level,up,up,level,down,up,level,down,down,down,level,up,down,up,down,up,down,up,up,down,down,down,down,down,up,down,Hole,1
1,level,up,level,up,up,level,down,up,level,down,down,down,level,up,up,up,down,up,down,up,up,down,down,down,down,down,up,down,Hole,1
2,level,up,level,up,up,level,down,up,level,down,down,down,level,up,up,up,down,up,down,up,up,down,down,down,down,down,up,down,Hole,1
3,level,up,level,up,up,level,down,up,level,down,down,down,level,up,up,up,down,up,down,up,up,down,down,down,down,down,up,down,Hole,1
4,level,up,level,up,up,level,down,up,level,down,down,down,level,up,up,up,down,up,down,up,up,down,down,down,down,down,up,down,Hole,1
5,level,up,level,up,up,level,down,up,level,down,down,down,level,up,up,up,down,up,down,up,up,down,down,down,down,down,up,down,Hole,1
6,level,up,level,up,up,level,down,up,level,down,down,down,level,up,up,up,down,up,down,up,up,down,down,down,down,down,up,down,Hole,1
7,level,up,level,up,up,level,down,up,level,down,down,down,level,up,up,up,down,up,down,up,up,down,down,down,down,down,up,down,Hole,1
8,level,up,level,up,up,level,down,up,level,down,down,down,level,up,up,up,down,up,down,up,up,down,down,down,down,down,up,down,Hole,1
9,level,up,level,up,up,level,down,up,level,down,down,down,level,up,up,up,down,up,down,up,up,down,down,down,down,down,up,down,Hole,1
10,level,up,level,up,up,level,down,up,level,down,down,down,level,up,up,up,down,up,down,up,up,down,down,down,down,down,up,down,Hole,1
11,level,up,level,up,up,level,down,up,level,down,down,down,level,up,up,up,down,up,down,up,up,down,down,down,down,down,up,down,Hole,1
12,level,up,level,up,up,level,down,up,level,down,down,down,level,up,up,up,down,up,down,up,up,down,down,down,down,down,up,down,Hole,1
13,level,up,level,up,up,level,down,up,level,down,down,down,level,up,up,up,down,up,down,up,up,down,down,down,down,down,up,down,Hole,1
14,level,up,level,up,up,level,down,up,level,down,down,down,level,up,up,up,down,up,down,up,up,down,down,down,down,down,up,down,Hole,1
15,level,up,up,up,level,up,down,level,up,down,down,down,down,level,up,up,down,up,down,up,up,down,down,down,down,down,up,down,Hole,2
16,level,up,up,up,level,up,down,level,up,down,down,down,down,level,up,up,down,up,down,up,up,down,down,down,down,down,up,down,Hole,2
17,level,up,up,up,level,up,down,level,up,down,down,down,down,level,up,up,down,up,down,up,up,down,down,down,down,down,up,down,Hole,2
18,level,up,up,up,level,up,down,level,up,down,down,down,down,level,up,up,down,up,down,up,up,down,down,down,down,down,up,down,Hole,2
19,level,up,up,up,level,up,down,level,up,down,down,down,down,level,up,up,down,up,down,up,up,down,down,down,down,down,up,down,Hole,2
20,level,up,up,up,level,up,down,level,up,down,down,down,down,level,up,up,down,up,down,up,up,down,down,down,down,down,up,down,Hole,2
21,level,up,up,up,level,up,down,level,up,down,down,down,down,level,up,up,down,up,down,up,up,down,down,down,down,down,up,down,Hole,2
22,level,up,up,up,level,up,down,level,up,down,down,down,down,level,up,up,down,up,down,up,up,down,down,down,down,down,up,down,Hole,2
23,level,up,up,up,level,up,down,level,up,down,down,down,down,level,up,up,down,up,down,up,up,down,down,down,down,down,up,down,Hole,2
24,level,up,up,up,level,up,down,level,up,down,down,down,down,level,up,up,down,up,down,up,up,down,down,down,down,down,up,down,Hole,2
25,level,up,up,up,level,up,down,level,up,down,down,down,down,level,up,up,down,up,down,up,up,down,down,down,down,down,up,down,Hole,2
26,level,up,up,up,level,up,down,level,up,down,down,down,down,level,up,up,down,up,down,up,up,down,down,down,down,down,up,down,Hole,2
27,level,up,up,up,level,up,down,level,up,down,down,down,down,level,up,up,down,up,down,up,up,down,down,down,down,down,up,down,Hole,2
28,level,up,up,up,level,up,down,level,up,down,down,down,down,level,up,up,down,up,down,up,up,down,down,down,down,down,up,down,Hole,2
